year,dep_code,population,pet,pea,employed,unemployed,inactive
1998,70,707177.0,445469.7,287445.9,241896.1,45549.8,158665.2
1998,73,1271545.3,812314.3,636591.9,542257.2,94334.7,174264.5
1998,76,4079333.4,2775627.6,2023044.4,1701196.5,321847.9,751364.1
1998,81,173503.3,109978.8,79917.1,67326.7,12590.4,29963.5
1998,85,283092.8,160003.2,118837.3,96653.3,22184.0,41285.8
1998,86,233486.8,145188.8,95835.4,79233.1,16602.3,49551.7
1998,88,61573.6,36483.9,23659.4,20541.8,3117.6,12851.9
1998,91,51993.0,32473.7,21022.7,17291.2,3731.5,11501.7
1998,94,22527.3,15589.9,10161.0,7891.0,2270.0,5465.0
1998,95,59022.6,37025.2,24241.6,20128.5,4113.2,12832.3
1998,97,20108.0,13560.4,8790.6,6861.3,1929.2,4802.2
1998,99,64164.6,41544.9,27079.1,21851.5,5227.6,14540.2
1999,5,5098501.1,3397022.2,2280914.6,1768988.4,511926.3,1118088.7
1999,8,1905027.9,1242066.1,775181.6,615628.9,159552.7,464862.8
1999,11,6478636.1,4331938.8,2805700.5,2292914.7,512785.8,1524963.4
1999,13,1678755.0,1072938.9,674292.2,556734.8,117557.4,397438.6
1999,15,1083596.6,735157.3,519843.6,452297.8,67545.9,217052.2
1999,17,958460.3,678371.1,415618.6,341042.0,74576.7,262858.2
1999,18,367419.5,227898.0,144126.7,112875.2,31251.6,83924.0
1999,19,1215174.3,773076.9,476604.6,382590.6,94014.0,294840.2
1999,20,808869.0,517301.0,344076.1,259164.2,84912.0,173729.9
1999,23,1458093.2,902576.5,647898.5,520493.4,127405.1,255840.1
1999,25,1354847.6,989804.8,777147.5,489801.5,287346.0,214624.7
1999,27,365115.0,208976.9,151824.2,127848.9,23975.3,58100.9
1999,41,883748.1,574249.2,409395.4,341528.6,67866.8,166651.4
1999,44,521608.0,244814.4,169349.9,129098.7,40251.2,73722.0
1999,47,984216.1,606484.7,390304.0,314113.8,76190.2,215797.4
1999,50,731307.4,501385.9,375396.7,287844.4,87552.3,127465.9
1999,52,1475865.2,889381.8,579573.7,493514.8,86058.9,306146.7
1999,54,1150909.8,816402.6,587786.3,454748.0,133038.2,231202.7
1999,63,489965.6,333348.6,226379.2,172887.6,53491.6,107593.4
1999,66,854926.6,571956.4,396438.0,323545.8,72892.2,176558.3
1999,68,1754100.6,1199645.3,890895.3,727573.8,163321.5,312691.8
1999,70,718632.0,451896.9,287942.3,228506.0,59436.3,163673.0
1999,73,1275437.5,835332.4,652843.7,539301.3,113542.4,186833.4
1999,76,4102033.3,2856259.7,2088951.9,1676632.2,412319.7,776810.6
1999,81,178890.4,111618.6,79190.8,65168.5,14022.3,32745.4
1999,85,290658.2,161125.0,116254.0,88577.8,27676.2,44843.8
1999,86,239678.1,145518.7,94058.7,74741.8,19316.9,51287.0
1999,88,61592.4,36652.1,23797.4,20387.7,3409.7,12857.2
1999,91,53346.4,32620.6,20781.8,16381.7,4400.2,11797.5
1999,94,23919.6,15673.8,9855.7,7043.8,2811.9,5779.2
1999,95,60473.4,37207.7,24010.9,19199.7,4811.2,13164.4
1999,97,21223.1,13587.6,8502.7,6150.9,2351.8,5047.1
1999,99,66581.7,41746.6,26598.9,20306.5,6292.4,15079.5
2000,5,5163880.2,3460649.3,2334859.9,1803990.5,530869.3,1130892.7
2000,8,1937885.3,1265092.7,797944.9,632618.0,165326.9,469098.8
2000,11,6530866.4,4380313.7,2848809.1,2319452.5,529356.7,1535019.0
2000,13,1699503.9,1088145.9,689107.7,567168.5,121939.2,400244.2
2000,15,1091132.8,742711.4,522579.2,452833.9,69745.4,219470.3
2000,17,961079.9,682938.5,419654.6,342361.2,77293.4,264053.1
2000,18,369455.1,230263.7,146363.0,113838.4,32524.7,84355.5
2000,19,1227844.1,783444.9,488320.6,391103.6,97217.0,296363.7
2000,20,829314.1,529467.4,353633.1,265661.2,87971.9,176602.4
2000,23,1474542.9,918584.7,660168.8,528304.1,131864.6,259001.9
2000,25,1431777.4,1044608.3,826194.4,525616.5,300577.9,223463.9
2000,27,373685.9,213480.7,152994.4,128526.3,24468.1,59958.8
2000,41,894669.5,582973.6,413574.0,343223.3,70350.8,169227.0
2000,44,540351.0,255928.5,180957.9,139638.5,41319.5,75342.4
2000,47,1002905.4,618456.7,400582.0,321735.9,78846.1,218439.5
2000,50,746398.7,512740.7,383785.8,292738.5,91047.2,129668.6
2000,52,1484042.4,898640.4,592414.8,504764.5,87650.3,306556.6
2000,54,1170130.6,830623.0,597139.4,458965.5,138174.0,234456.0
2000,63,492592.8,337846.9,229477.7,174242.9,55234.8,108755.0
2000,66,859346.4,578952.0,400511.4,325348.8,75162.6,178500.0
2000,68,1776315.8,1221672.6,904245.3,734362.3,169883.0,317772.5
2000,70,728557.0,459384.1,294840.2,233269.9,61570.3,165172.6
2000,73,1278809.9,845033.9,653902.4,536917.7,116984.6,190242.6
2000,76,4121701.1,2886291.0,2103154.3,1676539.5,426614.8,784348.4
2000,81,183558.0,113728.4,80102.4,65736.4,14366.0,33486.7
2000,85,297213.2,166003.6,120383.9,91798.2,28585.8,45795.4
2000,86,245042.5,147890.3,96208.5,76353.4,19855.2,51798.1
2000,88,61608.7,36690.8,23807.1,20318.4,3488.7,12879.1
2000,91,54519.1,33077.7,21225.1,16698.4,4526.7,11889.1
